code_pays,pays,annee,population
2,Afghanistan,2013,30552000
202,Afrique du Sud,2013,52776000
3,Albanie,2013,3173000
4,Algérie,2013,39208000
79,Allemagne,2013,82727000
7,Angola,2013,21472000
8,Antigua-et-Barbuda,2013,90000
194,Arabie saoudite,2013,28829000
9,Argentine,2013,41446000
1,Arménie,2013,2977000
10,Australie,2013,23343000
11,Autriche,2013,8495000
52,Azerbaïdjan,2013,9413000
12,Bahamas,2013,377000
16,Bangladesh,2013,156595000
14,Barbade,2013,285000
57,Bélarus,2013,9357000
255,Belgique,2013,11104000
23,Belize,2013,332000
53,Bénin,2013,10323000
17,Bermudes,2013,65000
19,Bolivie (État plurinational de),2013,10671000
80,Bosnie-Herzégovine,2013,3829000
20,Botswana,2013,2021000
21,Brésil,2013,200362000
26,Brunéi Darussalam,2013,418000
27,Bulgarie,2013,7223000
233,Burkina Faso,2013,16935000
35,Cabo Verde,2013,499000
115,Cambodge,2013,15135000
32,Cameroun,2013,22254000
33,Canada,2013,35182000
40,Chili,2013,17620000
351,Chine,2013,1416667000
96,Chine - RAS de Hong-Kong,2013,7204000
128,Chine - RAS de Macao,2013,566000
41,"Chine, continentale",2013,1385567000
214,"Chine, Taiwan Province de",2013,23330000
50,Chypre,2013,1141000
44,Colombie,2013,48321000
46,Congo,2013,4448000
48,Costa Rica,2013,4872000
107,Côte d'Ivoire,2013,20316000
98,Croatie,2013,4290000
49,Cuba,2013,11266000
54,Danemark,2013,5619000
72,Djibouti,2013,873000
55,Dominique,2013,72000
59,Égypte,2013,82056000
60,El Salvador,2013,6340000
225,Émirats arabes unis,2013,9346000
58,Équateur,2013,15738000
203,Espagne,2013,46927000
63,Estonie,2013,1287000
209,Eswatini,2013,1250000
231,États-Unis d'Amérique,2013,320051000
238,Éthiopie,2013,94101000
185,Fédération de Russie,2013,142834000
66,Fidji,2013,881000
67,Finlande,2013,5426000
68,France,2013,64291000
74,Gabon,2013,1672000
75,Gambie,2013,1849000
73,Géorgie,2013,4341000
81,Ghana,2013,25905000
84,Grèce,2013,11128000
86,Grenade,2013,106000
89,Guatemala,2013,15468000
90,Guinée,2013,11745000
175,Guinée-Bissau,2013,1704000
91,Guyana,2013,800000
93,Haïti,2013,10317000
95,Honduras,2013,8096000
97,Hongrie,2013,9955000
25,Îles Salomon,2013,561000
100,Inde,2013,1252140000
101,Indonésie,2013,249866000
102,Iran (République islamique d'),2013,77447000
103,Iraq,2013,33765000
104,Irlande,2013,4627000
99,Islande,2013,330000
105,Israël,2013,7733000
106,Italie,2013,60990000
109,Jamaïque,2013,2784000
110,Japon,2013,127144000
112,Jordanie,2013,7274000
108,Kazakhstan,2013,16441000
114,Kenya,2013,44354000
113,Kirghizistan,2013,5548000
83,Kiribati,2013,102000
118,Koweït,2013,3369000
122,Lesotho,2013,2074000
119,Lettonie,2013,2050000
121,Liban,2013,4822000
123,Libéria,2013,4294000
126,Lituanie,2013,3017000
256,Luxembourg,2013,530000
154,Macédoine du Nord,2013,2107000
129,Madagascar,2013,22925000
131,Malaisie,2013,29717000
130,Malawi,2013,16363000
132,Maldives,2013,345000
133,Mali,2013,15302000
134,Malte,2013,429000
143,Maroc,2013,33008000
137,Maurice,2013,1244000
136,Mauritanie,2013,3890000
138,Mexique,2013,122332000
141,Mongolie,2013,2839000
273,Monténégro,2013,621000
144,Mozambique,2013,25834000
28,Myanmar,2013,53259000
147,Namibie,2013,2303000
149,Népal,2013,27797000
157,Nicaragua,2013,6080000
158,Niger,2013,17831000
159,Nigéria,2013,173615000
162,Norvège,2013,5043000
153,Nouvelle-Calédonie,2013,256000
156,Nouvelle-Zélande,2013,4506000
221,Oman,2013,3632000
226,Ouganda,2013,37579000
235,Ouzbékistan,2013,28934000
165,Pakistan,2013,182143000
166,Panama,2013,3864000
169,Paraguay,2013,6802000
150,Pays-Bas,2013,16759000
170,Pérou,2013,30376000
171,Philippines,2013,98394000
173,Pologne,2013,38217000
70,Polynésie française,2013,277000
174,Portugal,2013,10608000
37,République centrafricaine,2013,4616000
117,République de Corée,2013,49263000
146,République de Moldova,2013,3487000
120,République démocratique populaire lao,2013,6770000
56,République dominicaine,2013,10404000
116,République populaire démocratique de Corée,2013,24895000
215,République-Unie de Tanzanie,2013,49253000
183,Roumanie,2013,21699000
229,Royaume-Uni,2013,63384000
184,Rwanda,2013,11777000
189,Sainte-Lucie,2013,182000
188,Saint-Kitts-et-Nevis,2013,54000
191,Saint-Vincent-et-les Grenadines,2013,109000
244,Samoa,2013,190000
193,Sao Tomé-et-Principe,2013,193000
195,Sénégal,2013,14133000
272,Serbie,2013,9511000
197,Sierra Leone,2013,6092000
199,Slovaquie,2013,5450000
198,Slovénie,2013,2072000
276,Soudan,2013,37964000
38,Sri Lanka,2013,21273000
210,Suède,2013,9571000
211,Suisse,2013,8078000
207,Suriname,2013,539000
208,Tadjikistan,2013,8208000
39,Tchad,2013,12825000
167,Tchéquie (la),2013,10702000
216,Thaïlande,2013,67011000
176,Timor-Leste,2013,1133000
217,Togo,2013,6817000
220,Trinité-et-Tobago,2013,1341000
222,Tunisie,2013,10997000
213,Turkménistan,2013,5240000
223,Turquie,2013,74933000
230,Ukraine,2013,45239000
234,Uruguay,2013,3407000
155,Vanuatu,2013,253000
236,Venezuela (République bolivarienne du),2013,30405000
237,Viet Nam,2013,91680000
249,Yémen,2013,24407000
251,Zambie,2013,14539000
181,Zimbabwe,2013,14150000
